category,brand_name,brand_slug,menu_name,menu_slug,menu_url,allergens_contains,allergens_may_contain,allergens_unknown,origin_text,source_url,raw_text,checked_at,status,note
pizza,피자헛,pizzahut,베이컨포테이토(L) - 핫도그 엣지 라지,pizzahut-001,https://www.pizzahut.co.kr,egg;milk;soybean;wheat;tomato;chicken;pork;beef;shellfish;sulfite,,,공식 원산지 정보 미수집,https://www.pizzahut.co.kr/popup/popup_allergy.do,"계란, 우유, 대두, 밀, 토마토, 닭고기, 돼지고기, 소고기, 조개류, 아황산류",2026-06-29,수집 완료,피자헛 공식 알레르기 팝업 HTML에서 자동 수집; 원산지는 별도 확인 필요
pizza,피자헛,pizzahut,베이컨포테이토(L) - 치즈크러스트 골드 라지,pizzahut-002,https://www.pizzahut.co.kr,egg;milk;soybean;wheat;tomato;pork;sulfite,,,공식 원산지 정보 미수집,https://www.pizzahut.co.kr/popup/popup_allergy.do,"계란, 우유, 대두, 밀, 토마토, 돼지고기, 아황산류",2026-06-29,수집 완료,피자헛 공식 알레르기 팝업 HTML에서 자동 수집; 원산지는 별도 확인 필요
pizza,피자헛,pizzahut,베이컨포테이토(L) - 리치골드 라지,pizzahut-003,https://www.pizzahut.co.kr,egg;milk;soybean;wheat;pork;tomato;sulfite,,,공식 원산지 정보 미수집,https://www.pizzahut.co.kr/popup/popup_allergy.do,"계란, 우유, 대두, 밀, 돼지고기, 토마토, 아황산류",2026-06-29,수집 완료,피자헛 공식 알레르기 팝업 HTML에서 자동 수집; 원산지는 별도 확인 필요
pizza,피자헛,pizzahut,베이컨포테이토(L) - 치즈크러스트 라지,pizzahut-004,https://www.pizzahut.co.kr,egg;milk;soybean;wheat;pork;tomato;sulfite,,,공식 원산지 정보 미수집,https://www.pizzahut.co.kr/popup/popup_allergy.do,"계란, 우유, 대두, 밀, 돼지고기, 토마토, 아황산류",2026-06-29,수집 완료,피자헛 공식 알레르기 팝업 HTML에서 자동 수집; 원산지는 별도 확인 필요
pizza,피자헛,pizzahut,베이컨포테이토(L) - 오리지널 엣지 라지,pizzahut-005,https://www.pizzahut.co.kr,egg;milk;soybean;wheat;pork;tomato;sulfite,,,공식 원산지 정보 미수집,https://www.pizzahut.co.kr/popup/popup_allergy.do,"계란, 우유, 대두, 밀, 돼지고기, 토마토, 아황산류",2026-06-29,수집 완료,피자헛 공식 알레르기 팝업 HTML에서 자동 수집; 원산지는 별도 확인 필요
pizza,피자헛,pizzahut,베이컨포테이토(L) - 씬 도우 라지,pizzahut-006,https://www.pizzahut.co.kr,egg;milk;soybean;wheat;tomato;pork;sulfite,,,공식 원산지 정보 미수집,https://www.pizzahut.co.kr/popup/popup_allergy.do,"계란, 우유, 대두, 밀, 토마토, 돼지고기, 아황산류",2026-06-29,수집 완료,피자헛 공식 알레르기 팝업 HTML에서 자동 수집; 원산지는 별도 확인 필요
pizza,피자헛,pizzahut,베이컨포테이토(M) - 핫도그 엣지 미디엄,pizzahut-007,https://www.pizzahut.co.kr,egg;milk;soybean;wheat;tomato;chicken;pork;beef;shellfish;sulfite,,,공식 원산지 정보 미수집,https://www.pizzahut.co.kr/popup/popup_allergy.do,"계란, 우유, 대두, 밀, 토마토, 닭고기, 돼지고기, 소고기, 조개류, 아황산류",2026-06-29,수집 완료,피자헛 공식 알레르기 팝업 HTML에서 자동 수집; 원산지는 별도 확인 필요
pizza,피자헛,pizzahut,베이컨포테이토(M) - 치즈크러스트 골드 미디엄,pizzahut-008,https://www.pizzahut.co.kr,egg;milk;soybean;wheat;tomato;pork;sulfite,,,공식 원산지 정보 미수집,https://www.pizzahut.co.kr/popup/popup_allergy.do,"계란, 우유, 대두, 밀, 토마토, 돼지고기, 아황산류",2026-06-29,수집 완료,피자헛 공식 알레르기 팝업 HTML에서 자동 수집; 원산지는 별도 확인 필요
pizza,피자헛,pizzahut,베이컨포테이토(M) - 리치골드 미디엄,pizzahut-009,https://www.pizzahut.co.kr,egg;milk;soybean;wheat;pork;tomato;sulfite,,,공식 원산지 정보 미수집,https://www.pizzahut.co.kr/popup/popup_allergy.do,"계란, 우유, 대두, 밀, 돼지고기, 토마토, 아황산류",2026-06-29,수집 완료,피자헛 공식 알레르기 팝업 HTML에서 자동 수집; 원산지는 별도 확인 필요
pizza,피자헛,pizzahut,베이컨포테이토(M) - 치즈크러스트 미디엄,pizzahut-010,https://www.pizzahut.co.kr,egg;milk;soybean;wheat;pork;tomato;sulfite,,,공식 원산지 정보 미수집,https://www.pizzahut.co.kr/popup/popup_allergy.do,"계란, 우유, 대두, 밀, 돼지고기, 토마토, 아황산류",2026-06-29,수집 완료,피자헛 공식 알레르기 팝업 HTML에서 자동 수집; 원산지는 별도 확인 필요
